id,Gender,Country,Age,Income,Marital-Status,workclass,credit-score,Learning,Tenure,Balance,Products,Education,Occupation,Target
0,Female,Australia,53.0,20000.0,Separated,Local-gov,18396.0,8.0,7.0,100000.0,6.0,Masters,Adm-clerical,0
1,Female,Canada,28.0,100000.0,Separated,Private,10886.0,4.0,4.0,101300.0,5.0,HS-Grad,Prof-specialty,0
2,Female,Australia,35.0,200000.0,Never-married,Private,71561.0,4.0,4.0,104000.0,3.0,HS-Grad,Prof-specialty,0
3,Female,Canada,43.0,50000.0,Never-married,Private,49390.0,4.0,4.0,102449.0,3.0,Masters,Prof-specialty,0
4,Female,Russia,29.0,100000.0,Never-married,Private,99302.0,4.0,4.0,105712.0,3.0,HS-Grad,Prof-specialty,0
5,Male,Australia,44.0,180000.0,Never-married,Without-pay,1110.0,3.0,3.0,101110.0,2.0,Some-college,Exec-managerial,0
6,Female,Canada,30.0,280000.0,Separated,Daily-wages,2946.0,2.0,2.0,103326.0,1.0,Bachelors,Craft-repair,0
7,Female,Australia,43.0,160000.0,Separated,Daily-wages,0.0,5.0,2.0,100000.0,1.0,Bachelors,Exec-managerial,0
8,Female,Canada,27.0,310000.0,Separated,Without-pay,833.0,3.0,3.0,100323.0,2.0,Some-college,Exec-managerial,0
9,Female,Australia,40.0,420000.0,Never-married,Private,33561.0,4.0,4.0,105900.0,5.0,HS-Grad,Prof-specialty,0
10,Female,Canada,35.0,260000.0,Never-married,Self-emp-inc,1013.0,6.0,2.0,100000.0,2.0,HS-Grad,Prof-specialty,1
11,Male,Australia,32.0,200000.0,Separated,Self-emp-inc,88808.0,6.0,6.0,100000.0,,Masters,Adm-clerical,1
12,Female,Canada,30.0,70000.0,Separated,Daily-wages,-25.0,,2.0,100000.0,1.0,Bachelors,Exec-managerial,0
13,Female,Australia,23.0,10000.0,Separated,Self-emp-not-inc,4205.0,3.0,8.0,100000.0,6.0,Masters,Adm-clerical,1
14,Female,Australia,41.0,180000.0,Never-married,Private,184650.0,4.0,2.0,100000.0,1.0,Bachelors,Craft-repair,0
15,Female,France,24.0,70000.0,Separated,Private,5633.0,4.0,4.0,101114.0,3.0,HS-Grad,Prof-specialty,0
16,Female,Canada,32.0,220000.0,Separated,Daily-wages,21332.0,2.0,2.0,128567.0,1.0,Bachelors,Craft-repair,0
17,Female,Canada,34.0,50000.0,Separated,Without-pay,1884.0,3.0,3.0,101077.0,,Some-college,Exec-managerial,0
18,Female,France,46.0,370000.0,Never-married,Daily-wages,6370.0,2.0,2.0,102120.0,1.0,Bachelors,Craft-repair,0
19,Male,Canada,40.0,460000.0,Never-married,Private,235388.0,4.0,4.0,108000.0,3.0,HS-Grad,Prof-specialty,0
20,Female,France,40.0,50000.0,Never-married,Private,31297.0,4.0,4.0,101476.0,3.0,HS-Grad,Prof-specialty,0
21,Male,Canada,52.0,200000.0,Never-married,Without-pay,2343.0,3.0,3.0,103943.0,2.0,Some-college,Exec-managerial,0
22,Male,Canada,44.0,100000.0,Never-married,Private,37222.0,4.0,4.0,102000.0,3.0,HS-Grad,Prof-specialty,0
23,Male,Australia,28.0,200000.0,Separated,Private,162439.0,4.0,4.0,104000.0,3.0,HS-Grad,Prof-specialty,0
24,Female,France,46.0,40000.0,Never-married,Without-pay,50.0,,6.0,101800.0,3.0,Some-college,Exec-managerial,0
25,Female,Canada,31.0,420000.0,Separated,Private,127901.0,4.0,4.0,103900.0,,Some-college,Prof-specialty,0
26,Female,Australia,39.0,400000.0,Separated,Daily-wages,0.0,5.0,2.0,100000.0,1.0,Bachelors,Craft-repair,1
27,Female,Australia,37.0,480000.0,Never-married,Without-pay,5269.0,3.0,3.0,102217.0,2.0,Some-college,Exec-managerial,0
28,Female,Germany,39.0,190000.0,Separated,Private,109023.0,4.0,4.0,104000.0,3.0,HS-Grad,Prof-specialty,0
29,Female,Canada,39.0,500000.0,Separated,Daily-wages,1950.0,2.0,2.0,102900.0,2.0,HS-Grad,Exec-managerial,1
30,Female,Canada,40.0,210000.0,Never-married,Private,206803.0,4.0,4.0,107876.0,3.0,HS-Grad,Prof-specialty,0
31,Male,Canada,42.0,380000.0,Never-married,Without-pay,4377.0,3.0,3.0,100000.0,2.0,Bachelors,Exec-managerial,0
32,Female,France,23.0,50000.0,Separated,Private,32644.0,4.0,4.0,102000.0,,HS-Grad,Prof-specialty,0
33,Female,Canada,32.0,200000.0,Separated,Without-pay,0.0,5.0,3.0,102300.0,2.0,Bachelors,Craft-repair,0
34,Male,France,28.0,30000.0,Separated,Self-emp-inc,22323.0,6.0,6.0,104000.0,3.0,HS-Grad,Prof-specialty,1
35,Female,Australia,24.0,30000.0,Separated,Self-emp-inc,27954.0,,4.0,100000.0,,HS-Grad,Prof-specialty,0
36,Female,France,53.0,20000.0,Separated,Without-pay,4400.0,3.0,2.0,100000.0,1.0,Some-college,Exec-managerial,0
37,Female,Canada,28.0,140000.0,Separated,Daily-wages,0.0,5.0,2.0,100000.0,1.0,Bachelors,Craft-repair,0
38,Male,France,51.0,20000.0,Never-married,Private,14962.0,4.0,4.0,102890.0,3.0,HS-Grad,Prof-specialty,0
39,Female,Canada,46.0,220000.0,Never-married,Self-emp-inc,249449.0,7.0,6.0,109501.0,3.0,HS-Grad,Prof-specialty,0
40,Male,Canada,48.0,190000.0,Never-married,Private,189158.0,,4.0,106561.0,3.0,Bachelors,Craft-repair,0
41,Female,Canada,23.0,30000.0,Separated,Daily-wages,4000.0,5.0,2.0,105645.0,1.0,Some-college,Exec-managerial,0
42,Male,Australia,30.0,60000.0,Separated,Without-pay,921.0,3.0,6.0,101498.0,2.0,Some-college,Exec-managerial,0
43,Female,Canada,34.0,290000.0,Never-married,Private,276365.0,4.0,4.0,109263.0,3.0,HS-Grad,Prof-specialty,0
44,Female,France,49.0,50000.0,Divorced,Private,49402.0,4.0,4.0,101800.0,3.0,HS-Grad,Adm-clerical,0
45,Female,Australia,31.0,300000.0,Never-married,Private,5361.0,4.0,4.0,101060.0,2.0,Some-college,Exec-managerial,0
46,Female,France,47.0,120000.0,Never-married,Private,16224.0,4.0,4.0,102001.0,3.0,HS-Grad,Prof-specialty,0
47,Female,Australia,28.0,140000.0,Never-married,Self-emp-inc,1953.0,3.0,3.0,100000.0,2.0,Some-college,Exec-managerial,1
48,Female,France,35.0,70000.0,Never-married,Self-emp-inc,69852.0,,6.0,100000.0,5.0,HS-Grad,Prof-specialty,1
49,Male,Canada,42.0,50000.0,Separated,Self-emp-inc,44350.0,5.0,6.0,100000.0,5.0,Masters,Adm-clerical,0
50,Female,Australia,54.0,150000.0,Divorced,Private,138765.0,4.0,4.0,104772.0,3.0,HS-Grad,Prof-specialty,0
51,Female,Canada,28.0,80000.0,Separated,Private,57776.0,4.0,4.0,101200.0,3.0,HS-Grad,Adm-clerical,0
52,Female,Australia,37.0,10000.0,Separated,Without-pay,6993.0,3.0,3.0,106495.0,2.0,HS-Grad,Prof-specialty,0
53,Male,Russia,47.0,10000.0,Separated,Private,7968.0,4.0,4.0,101000.0,,Some-college,Exec-managerial,0
54,Female,Australia,28.0,300000.0,Separated,Private,272399.0,6.0,4.0,111232.0,3.0,HS-Grad,Prof-specialty,1
55,Male,France,32.0,150000.0,Separated,Without-pay,3706.0,5.0,4.0,140093.0,3.0,HS-Grad,Prof-specialty,0
56,Female,Canada,35.0,450000.0,Never-married,Without-pay,403.0,3.0,2.0,100000.0,,Some-college,Exec-managerial,0
57,Male,Australia,54.0,30000.0,Separated,Private,10568.0,4.0,6.0,103000.0,5.0,Masters,Adm-clerical,0
58,Male,Canada,37.0,50000.0,Separated,Private,11533.0,6.0,4.0,101612.0,3.0,HS-Grad,Adm-clerical,0
59,Male,Canada,27.0,30000.0,Separated,Private,18239.0,,4.0,102000.0,3.0,Some-college,Exec-managerial,0
60,Male,Canada,54.0,300000.0,Never-married,Daily-wages,0.0,2.0,2.0,100000.0,,Bachelors,Craft-repair,0
